Zone Name,Ward No.,School UDISE ID,School Name & ID,School Inspector's Name,Last Data Date,Total Enrolment (Last),Max Enrolment,Max Enrolment Date,Max Present,Max Present Date,With Account,Without Account,With Aadhaar,Without Aadhaar,Aadhaar Linked Account,New Admission (This month),New Admission (This session),DBT Received (Student),DBT Received (Parent),Received By (Student + Parent)
Narela,3,07010400101,NARELA SEC A5 POCKET 2 (CO-ED)-1355419,MAHIPAL,,737,770,2025-11-09,674,,587,150,696,41,587,13,229,0,0,0
Narela,3,07010400102,NARELA SEC A6 POCKET 5 (CO-ED)-1355327,MAHIPAL,,883,892,,809,,629,254,808,75,629,28,236,0,0,0
Narela,3,07010400103,NARELA SEC A6 POCKET 11 (BOYS)-1355119,MAHIPAL,,310,321,2025-06-09,292,,259,51,275,35,259,9,114,0,0,0
Narela,3,07010400104,NARELA SEC A6 POCKET 11 (GIRLS)-1355118,MAHIPAL,,533,557,2025-04-09,518,,463,70,462,71,436,6,143,0,0,0
Narela,3,07010400105,NARELA SEC A5 PKT 2 (DESU) (CO-ED)-1355117,MAHIPAL,,405,433,2025-01-09,378,,383,22,344,61,344,4,134,0,0,0
Narela,4,07010400106,SINGHOLA (CO-ED)-1355114,MAHIPAL,,221,227,2025-01-09,181,,155,66,167,54,121,3,67,0,0,0
Narela,3,07010400107,KURENI NARELA (CO-ED)-1355107,MAHIPAL,,760,778,,668,,591,169,750,10,591,23,292,0,0,0
Narela,1,07010400108,NARELA COLONY (BOYS)-1355101,MANISH TOKAS,,231,244,2025-04-09,208,,158,73,197,34,158,2,94,0,0,0
Narela,1,07010400109,NARELA COLONY (GIRLS)-1355100,MANISH TOKAS,,320,326,2025-09-09,294,,206,114,233,87,200,4,106,0,0,0
Narela,1,07010400110,NARELA MANDI NO 2 (BOYS)-1355099,MANISH TOKAS,,163,163,2025-01-09,150,,144,19,160,3,144,0,46,0,0,0
Narela,1,07010400111,NARELA MANDI NO 2 (GIRLS)-1355098,MANISH TOKAS,,322,322,,302,,287,35,307,15,274,6,111,0,0,0
Narela,1,07010400112,NARELA MANDI NO 1(BOYS)-1355097,MANISH TOKAS,,316,317,2025-08-09,282,,262,54,310,6,262,5,130,0,0,0
Narela,1,07010400113,NARELA MANDI NO1 (GIRLS)-1355096,MANISH TOKAS,,562,566,2025-11-09,524,,457,105,532,30,457,7,196,0,0,0
Narela,1,07010400114,PANA MAMUR PUR (BOYS)-1355095,MANISH TOKAS,,245,245,2025-11-09,227,,182,63,217,28,160,2,90,0,0,0
Narela,1,07010400115,PANA MAMUR PUR (GIRLS)-1355094,MANISH TOKAS,,294,295,,278,,253,41,277,17,253,6,105,0,0,0
Narela,1,07010400117,PANA PAPOSIYAN (CO-ED)-1355092,MANISH TOKAS,,377,381,2025-10-09,340,,327,50,348,29,327,4,119,0,0,0
Narela,1,07010400118,PANA UDYAN NARELA (BOYS)-1355091,MANISH TOKAS,,363,399,2025-01-09,311,,245,118,307,56,245,0,143,0,0,0
Narela,1,07010400119,PANA UDYAN NARELA (GIRLS)-1355090,MANISH TOKAS,,503,519,,468,,437,66,493,10,437,5,139,0,0,0
Narela,3,07010400201,NARELA SEC A10 POCKET 7 (CO-ED)-1355120,MAHIPAL,,604,609,2025-08-09,547,,536,68,602,2,536,18,161,0,0,0
Narela,2,07010400202,GHOGA (CO-ED)-1355113,MAHIPAL,,217,220,2025-03-09,212,,188,29,216,1,188,5,51,0,0,0
Narela,4,07010400203,BHORGARH (BOYS)-1355109,MAHIPAL,,431,436,2025-06-09,382,,426,5,420,11,420,7,164,0,0,0
Narela,4,07010400204,BHORGARH (GIRLS)-1355108,MAHIPAL,,542,550,2025-12-09,474,,447,95,531,11,447,6,169,0,0,0
Narela,2,07010400205,LAMPUR (CO-ED)-1355106,MAHIPAL,,437,443,,391,,342,95,376,61,342,11,146,0,0,0
Narela,2,07010400206,BANKNER (GIRLS)-1355105,MAHIPAL,,678,685,2025-03-09,646,,548,130,633,45,548,11,232,0,0,0
Narela,2,07010400207,BANKNER (BOYS)-1355104,MAHIPAL,,595,601,2025-10-09,564,,482,113,561,34,482,10,248,0,0,0
